full_path,relative_path,filename,year,date,DOY,MODIS_composite_index,tile_or_polygon_id,start_year,end_year,first_date,last_date,band_count,dtype,nodata,width,height,CRS,transform,pixel_size_x,pixel_size_y,bounds,grid_offset_x,grid_offset_y,compression,file_size_bytes,minimum,maximum,mean,valid_fraction,date_count,date_sequence_sha256,readable,error
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X030-Y028_2001_2025.tif,EVI_Series_ID_EU_150-X030-Y028_2001_2025.tif,EVI_Series_ID_EU_150-X030-Y028_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X030-Y028,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,675,679,EPSG:3035,"[4079250.0,250.0,0.0,2623500.0,0.0,-250.0]",250.0,250.0,"[4079250.0,2453750.0,4248000.0,2623500.0]",0.0,0.0,DEFLATE,469381395,-0.2,0.998,0.3116432557425952,0.5447953391304348,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X030-Y029_2001_2025.tif,EVI_Series_ID_EU_150-X030-Y029_2001_2025.tif,EVI_Series_ID_EU_150-X030-Y029_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X030-Y029,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,673,679,EPSG:3035,"[4099000.0,250.0,0.0,2475000.0,0.0,-250.0]",250.0,250.0,"[4099000.0,2305250.0,4267250.0,2475000.0]",0.0,0.0,DEFLATE,538609673,-0.172,0.999,0.3432389483150451,0.6420504347826087,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X030-Y030_2001_2025.tif,EVI_Series_ID_EU_150-X030-Y030_2001_2025.tif,EVI_Series_ID_EU_150-X030-Y030_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X030-Y030,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,672,679,EPSG:3035,"[4118250.0,250.0,0.0,2326250.0,0.0,-250.0]",250.0,250.0,"[4118250.0,2156500.0,4286250.0,2326250.0]",0.0,0.0,DEFLATE,32610969,-0.081,0.932,0.32314284616352085,0.029869773913043476,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X030-Y031_2001_2025.tif,EVI_Series_ID_EU_150-X030-Y031_2001_2025.tif,EVI_Series_ID_EU_150-X030-Y031_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X030-Y031,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,670,678,EPSG:3035,"[4137500.0,250.0,0.0,2177500.0,0.0,-250.0]",250.0,250.0,"[4137500.0,2008000.0,4305000.0,2177500.0]",0.0,0.0,DEFLATE,241157881,-0.133,0.946,0.339761214147849,0.27959634782608694,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X030-Y032_2001_2025.tif,EVI_Series_ID_EU_150-X030-Y032_2001_2025.tif,EVI_Series_ID_EU_150-X030-Y032_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X030-Y032,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,669,679,EPSG:3035,"[4156250.0,250.0,0.0,2028750.0,0.0,-250.0]",250.0,250.0,"[4156250.0,1859000.0,4323500.0,2028750.0]",0.0,0.0,DEFLATE,426499335,-0.137,0.976,0.34758300378948503,0.5121264347826087,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X030-Y033_2001_2025.tif,EVI_Series_ID_EU_150-X030-Y033_2001_2025.tif,EVI_Series_ID_EU_150-X030-Y033_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X030-Y033,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,668,678,EPSG:3035,"[4174750.0,250.0,0.0,1879750.0,0.0,-250.0]",250.0,250.0,"[4174750.0,1710250.0,4341750.0,1879750.0]",0.0,0.0,DEFLATE,268626729,-0.148,0.955,0.33207243472684594,0.3346605217391304,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X031-Y016_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y016_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y016_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X031-Y016,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,688,680,EPSG:3035,"[3971000.0,250.0,0.0,4422500.0,0.0,-250.0]",250.0,250.0,"[3971000.0,4252500.0,4143000.0,4422500.0]",0.0,0.0,DEFLATE,98609781,-0.199,0.999,0.3143358417052968,0.09902639702276708,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X031-Y017_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y017_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y017_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X031-Y017,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,687,679,EPSG:3035,"[3994000.0,250.0,0.0,4274750.0,0.0,-250.0]",250.0,250.0,"[3994000.0,4105000.0,4165750.0,4274750.0]",0.0,0.0,DEFLATE,209015913,-0.199,0.994,0.29747058830608686,0.23699437739130436,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X031-Y018_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y018_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y018_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X031-Y018,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,686,680,EPSG:3035,"[4016500.0,250.0,0.0,4127000.0,0.0,-250.0]",250.0,250.0,"[4016500.0,3957000.0,4188000.0,4127000.0]",0.0,0.0,DEFLATE,237113653,-0.2,0.993,0.29468389061711164,0.2549350347826087,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X031-Y019_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y019_2001_2025.tif,EVI_Series_ID_EU_150-X031-Y019_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X031-Y019,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,685,679,EPSG:3035,"[4039000.0,250.0,0.0,3979000.0,0.0,-250.0]",250.0,250.0,"[4039000.0,3809250.0,4210250.0,3979000.0]",0.0,0.0,DEFLATE,179332533,-0.197,0.977,0.3067712934795002,0.20893539144851658,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
